,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point
3308,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:30,50.05655944972023,4
3309,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:31,50.05655944972023,4
3310,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:32,50.05655944972023,4
3311,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:33,50.05655944972023,4
3312,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:34,50.05655944972023,4
3313,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:35,50.05655944972023,4
3314,f4:02:28:5a:28:63,62.57644,31.620756,40,-63,2022-07-08T15:25:39.806+0100,2022-07-08 15:27:36,50.05655944972023,4
3315,f4:02:28:5a:28:63,63.361626,33.236755,64,-75,2022-07-08T15:27:37.564+0100,2022-07-08 15:27:37,50.61127390455985,4
3316,f4:02:28:5a:28:63,63.361626,33.236755,64,-75,2022-07-08T15:27:37.564+0100,2022-07-08 15:27:39,50.61127390455985,4
3317,f4:02:28:5a:28:63,63.361626,33.236755,64,-75,2022-07-08T15:27:37.564+0100,2022-07-08 15:27:40,50.61127390455985,4
3318,f4:02:28:5a:28:63,63.361626,33.236755,64,-75,2022-07-08T15:27:37.564+0100,2022-07-08 15:27:41,50.61127390455985,4
3319,f4:02:28:5a:28:63,63.361626,33.236755,64,-75,2022-07-08T15:27:37.564+0100,2022-07-08 15:27:42,50.61127390455985,4
3320,f4:02:28:5a:28:63,63.361626,33.236755,64,-75,2022-07-08T15:27:37.564+0100,2022-07-08 15:27:43,50.61127390455985,4
