,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
22518,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:39,27.299435551545752,23,True,RSSI
22519,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:40,27.299435551545752,23,True,RSSI
22520,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:41,27.299435551545752,23,True,RSSI
22521,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:43,27.299435551545752,23,True,RSSI
22522,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:44,27.299435551545752,23,True,RSSI
22523,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:45,27.299435551545752,23,True,RSSI
22524,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:46,27.299435551545752,23,True,RSSI
22525,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:47,27.299435551545752,23,True,RSSI
22526,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:48,27.299435551545752,23,True,RSSI
22527,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:49,27.299435551545752,23,True,RSSI
22528,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:50,27.299435551545752,23,True,RSSI
22529,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:51,27.299435551545752,23,True,RSSI
22530,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:52,27.299435551545752,23,True,RSSI
22531,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:53,27.299435551545752,23,True,RSSI
22532,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:54,27.299435551545752,23,True,RSSI
22533,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:55,27.299435551545752,23,True,RSSI
22534,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:56,27.299435551545752,23,True,RSSI
22535,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:57,27.299435551545752,23,True,RSSI
22536,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:51:59,27.299435551545752,23,True,RSSI
22537,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:00,27.299435551545752,23,True,RSSI
22538,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:01,27.299435551545752,23,True,RSSI
22539,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:02,27.299435551545752,23,True,RSSI
22540,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:03,27.299435551545752,23,True,RSSI
22541,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:04,27.299435551545752,23,True,RSSI
22542,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:05,27.299435551545752,23,True,RSSI
22543,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:06,27.299435551545752,23,True,RSSI
22544,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:07,27.299435551545752,23,True,RSSI
22545,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:08,27.299435551545752,23,True,RSSI
22546,dc:a6:32:26:67:ab,83.13689,9.88099,40,-58,2022-07-14T16:48:39.740+0100,2022-07-14 16:52:09,27.299435551545752,23,True,RSSI
