,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
548,dc:a6:32:26:67:ab,14.024627,0.0,80,-57,2022-07-08T12:32:58.039+0100,2022-07-08 12:32:59,0.9012670000000008,1,,
549,dc:a6:32:26:67:ab,13.610619,0.0,80,-60,2022-07-08T12:33:00.046+0100,2022-07-08 12:33:00,0.4872589999999999,1,,
550,dc:a6:32:26:67:ab,13.610619,0.0,80,-60,2022-07-08T12:33:00.046+0100,2022-07-08 12:33:01,0.4872589999999999,1,,
551,dc:a6:32:26:67:ab,13.586033,0.0,80,-58,2022-07-08T12:33:02.090+0100,2022-07-08 12:33:02,0.4626730000000005,1,,
552,dc:a6:32:26:67:ab,13.586033,0.0,80,-58,2022-07-08T12:33:02.090+0100,2022-07-08 12:33:03,0.4626730000000005,1,,
553,dc:a6:32:26:67:ab,16.000082,0.0,80,-57,2022-07-08T12:33:04.102+0100,2022-07-08 12:33:04,2.876721999999999,1,,
554,dc:a6:32:26:67:ab,16.000082,0.0,80,-57,2022-07-08T12:33:04.102+0100,2022-07-08 12:33:05,2.876721999999999,1,,
555,dc:a6:32:26:67:ab,14.40026,0.0,80,-58,2022-07-08T12:33:06.178+0100,2022-07-08 12:33:06,1.2768999999999997,1,,
556,dc:a6:32:26:67:ab,14.40026,0.0,80,-58,2022-07-08T12:33:06.178+0100,2022-07-08 12:33:07,1.2768999999999997,1,,
557,dc:a6:32:26:67:ab,12.801811,0.0,80,-58,2022-07-08T12:33:08.195+0100,2022-07-08 12:33:08,0.3215489999999992,1,,
558,dc:a6:32:26:67:ab,12.801811,0.0,80,-58,2022-07-08T12:33:08.195+0100,2022-07-08 12:33:09,0.3215489999999992,1,,
559,dc:a6:32:26:67:ab,13.18723,0.0,80,-57,2022-07-08T12:33:10.238+0100,2022-07-08 12:33:10,0.0638699999999996,1,,
560,dc:a6:32:26:67:ab,13.18723,0.0,80,-57,2022-07-08T12:33:10.238+0100,2022-07-08 12:33:11,0.0638699999999996,1,,
561,dc:a6:32:26:67:ab,15.188524,0.0,80,-57,2022-07-08T12:33:12.251+0100,2022-07-08 12:33:13,2.065164,1,,
562,dc:a6:32:26:67:ab,15.188524,0.0,80,-57,2022-07-08T12:33:12.251+0100,2022-07-08 12:33:14,2.065164,1,,
563,dc:a6:32:26:67:ab,12.415302,0.0,80,-59,2022-07-08T12:33:14.321+0100,2022-07-08 12:33:15,0.7080579999999994,1,,
564,dc:a6:32:26:67:ab,12.415302,0.0,80,-59,2022-07-08T12:33:14.321+0100,2022-07-08 12:33:16,0.7080579999999994,1,,
565,dc:a6:32:26:67:ab,12.803228,0.0,80,-57,2022-07-08T12:33:16.334+0100,2022-07-08 12:33:17,0.3201319999999992,1,,
566,dc:a6:32:26:67:ab,13.1899395,0.0,80,-57,2022-07-08T12:33:18.378+0100,2022-07-08 12:33:18,0.0665794999999995,1,,
567,dc:a6:32:26:67:ab,13.1899395,0.0,80,-57,2022-07-08T12:33:18.378+0100,2022-07-08 12:33:19,0.0665794999999995,1,,
568,dc:a6:32:26:67:ab,12.372883,0.0,80,-59,2022-07-08T12:33:20.394+0100,2022-07-08 12:33:20,0.7504770000000001,1,,
569,dc:a6:32:26:67:ab,12.372883,0.0,80,-59,2022-07-08T12:33:20.394+0100,2022-07-08 12:33:21,0.7504770000000001,1,,
570,dc:a6:32:26:67:ab,9.990417,0.0,80,-57,2022-07-08T12:33:22.489+0100,2022-07-08 12:33:22,3.132942999999999,1,,
571,dc:a6:32:26:67:ab,9.990417,0.0,80,-57,2022-07-08T12:33:22.489+0100,2022-07-08 12:33:23,3.132942999999999,1,,
572,dc:a6:32:26:67:ab,11.606616,0.0,80,-58,2022-07-08T12:33:24.490+0100,2022-07-08 12:33:24,1.5167439999999992,1,,
573,dc:a6:32:26:67:ab,11.606616,0.0,80,-58,2022-07-08T12:33:24.490+0100,2022-07-08 12:33:25,1.5167439999999992,1,,
574,dc:a6:32:26:67:ab,14.039711,0.0,80,-57,2022-07-08T12:33:26.526+0100,2022-07-08 12:33:26,0.9163510000000006,1,,
575,dc:a6:32:26:67:ab,14.039711,0.0,80,-57,2022-07-08T12:33:26.526+0100,2022-07-08 12:33:27,0.9163510000000006,1,,
576,dc:a6:32:26:67:ab,14.438514,0.0,80,-57,2022-07-08T12:33:28.543+0100,2022-07-08 12:33:29,1.3151539999999995,1,,
577,dc:a6:32:26:67:ab,14.438514,0.0,80,-57,2022-07-08T12:33:28.543+0100,2022-07-08 12:33:30,1.3151539999999995,1,,
578,dc:a6:32:26:67:ab,17.633913,0.0,80,-56,2022-07-08T12:33:30.632+0100,2022-07-08 12:33:31,4.510553,1,,
579,dc:a6:32:26:67:ab,17.633913,0.0,80,-56,2022-07-08T12:33:30.632+0100,2022-07-08 12:33:32,4.510553,1,,
580,dc:a6:32:26:67:ab,17.174856,0.0,80,-57,2022-07-08T12:33:32.633+0100,2022-07-08 12:33:33,4.051495999999998,1,,
581,dc:a6:32:26:67:ab,17.174856,0.0,80,-57,2022-07-08T12:33:32.633+0100,2022-07-08 12:33:34,4.051495999999998,1,,
582,dc:a6:32:26:67:ab,14.745724,0.0,80,-57,2022-07-08T12:33:34.675+0100,2022-07-08 12:33:35,1.6223639999999993,1,,
583,dc:a6:32:26:67:ab,14.745724,0.0,80,-57,2022-07-08T12:33:34.675+0100,2022-07-08 12:33:36,1.6223639999999993,1,,
584,dc:a6:32:26:67:ab,12.370295,0.0,80,-57,2022-07-08T12:33:36.676+0100,2022-07-08 12:33:37,0.7530649999999994,1,,
585,dc:a6:32:26:67:ab,11.57099,0.0,80,-58,2022-07-08T12:33:38.689+0100,2022-07-08 12:33:38,1.5523699999999998,1,,
586,dc:a6:32:26:67:ab,11.57099,0.0,80,-58,2022-07-08T12:33:38.689+0100,2022-07-08 12:33:39,1.5523699999999998,1,,
587,dc:a6:32:26:67:ab,8.81556,0.0,80,-58,2022-07-08T12:33:40.721+0100,2022-07-08 12:33:40,4.3078,1,,
588,dc:a6:32:26:67:ab,8.81556,0.0,80,-58,2022-07-08T12:33:40.721+0100,2022-07-08 12:33:41,4.3078,1,,
589,dc:a6:32:26:67:ab,10.012326,0.0,80,-57,2022-07-08T12:33:42.720+0100,2022-07-08 12:33:43,3.111034,1,,
590,dc:a6:32:26:67:ab,10.012326,0.0,80,-57,2022-07-08T12:33:42.720+0100,2022-07-08 12:33:44,3.111034,1,,
591,dc:a6:32:26:67:ab,10.797809,0.0,80,-58,2022-07-08T12:33:44.757+0100,2022-07-08 12:33:45,2.325550999999999,1,,
592,dc:a6:32:26:67:ab,10.797809,0.0,80,-58,2022-07-08T12:33:44.757+0100,2022-07-08 12:33:46,2.325550999999999,1,,
593,dc:a6:32:26:67:ab,9.995875,0.0,80,-59,2022-07-08T12:33:46.763+0100,2022-07-08 12:33:47,3.127485,1,,
594,dc:a6:32:26:67:ab,9.995875,0.0,80,-59,2022-07-08T12:33:46.763+0100,2022-07-08 12:33:48,3.127485,1,,
