,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point
0,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:22:58,34.962824523205846,1
1,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:00,34.962824523205846,1
2,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:01,34.962824523205846,1
3,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:02,34.962824523205846,1
4,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:03,34.962824523205846,1
5,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:04,34.962824523205846,1
6,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:05,34.962824523205846,1
7,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:06,34.962824523205846,1
8,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:07,34.962824523205846,1
9,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:08,34.962824523205846,1
10,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:09,34.962824523205846,1
11,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:10,34.962824523205846,1
12,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:12,34.962824523205846,1
13,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:13,34.962824523205846,1
14,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:14,34.962824523205846,1
15,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:15,34.962824523205846,1
16,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:16,34.962824523205846,1
17,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:17,34.962824523205846,1
18,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:18,34.962824523205846,1
19,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:19,34.962824523205846,1
20,f4:02:28:5a:28:63,17.73704,34.657078,40,-59,2022-07-08T12:18:37.455+0100,2022-07-08 12:23:20,34.962824523205846,1
